H GaussMeter (Oe),Mx (emu),,,
-489.553223,2.79E-01,0.000128534,0.000128534,
-512.893273,2.76E-01,0.000105856,0.000105856,
-531.786781,2.74E-01,0.00013023,0.00013023,
-554.823006,2.71E-01,7.8861E-05,7.8861E-05,
-580.184082,2.69E-01,0.000118543,0.000118543,
-605.491409,2.66E-01,0.000112506,0.000112506,
-623.268272,2.64E-01,0.000118963,0.000118963,
-648.48613,2.61E-01,7.916E-05,7.916E-05,
-673.751411,2.59E-01,0.000133842,0.000133842,
-696.165825,2.56E-01,0.000104617,0.000104617,
-715.283224,2.54E-01,0.000136639,0.000136639,
-737.238945,2.51E-01,9.08638E-05,9.08638E-05,
-759.249901,2.49E-01,0.000125551,0.000125551,
-783.144501,2.46E-01,0.000101828,0.000101828,
-842.067131,2.40E-01,0.000131423,0.000131423,
-895.330223,2.33E-01,0.000101886,0.000101886,
-954.219414,2.27E-01,0.00010579,0.00010579,
-1010.935707,2.21E-01,0.000138309,0.000138309,
-1061.547165,2.14E-01,0.000101784,0.000101784,
-1120.495758,2.08E-01,0.00010505,0.00010505,
-1177.61152,2.02E-01,0.000115566,0.000115566,
-1229.529968,1.96E-01,0.000127291,0.000127291,
-1284.522049,1.89E-01,0.00012248,0.00012248,
-1341.674438,1.82E-01,0.000112382,0.000112382,
-1395.063629,1.76E-01,0.000110125,0.000110125,
-1449.547409,1.70E-01,0.000122957,0.000122957,
-1506.477951,1.63E-01,0.000112655,0.000112655,
-1559.737976,1.57E-01,0.000125999,0.000125999,
-1615.294067,1.50E-01,0.000134981,0.000134981,
-1667.153031,1.43E-01,0.000106572,0.000106572,
-1723.453018,1.37E-01,0.000130155,0.000130155,
-1777.235108,1.30E-01,0.000121973,0.000121973,
-1834.624939,1.23E-01,0.000128607,0.000128607,
-1889.05423,1.16E-01,0.000134547,0.000134547,
-2107.565033,8.66E-02,0.000144314,0.000144314,
-2327.225372,5.49E-02,0.000153947,0.000153947,
-2547.430756,2.10E-02,0.000165882,0.000165882,
-2763.849853,-1.49E-02,0.000185025,0.000185025,
-2973.010956,-5.36E-02,0.000202602,0.000202602,
-3178.833466,-9.53E-02,0.000207817,0.000207817,
-3393.9263,-1.40E-01,0.000226673,0.000226673,
-3601.273102,-1.87E-01,0.000246692,0.000246692,
-3803.954712,-2.37E-01,0.000252282,0.000252282,
-4010.073151,-2.89E-01,0.00026093,0.00026093,
-4213.192932,-3.42E-01,0.00027173,0.00027173,
-4415.599732,-3.97E-01,0.000266221,0.000266221,
-4622.195007,-4.52E-01,0.000261899,0.000261899,
-4828.381165,-5.06E-01,0.000253493,0.000253493,
-5033.515015,-5.58E-01,0.000243267,0.000243267,
-5239.050415,-6.08E-01,0.000241656,0.000241656,
-5437.679627,-6.56E-01,0.000208502,0.000208502,
-5648.708923,-7.00E-01,0.00020828,0.00020828,
-5855.161621,-7.43E-01,0.000181251,0.000181251,
-6059.29834,-7.80E-01,0.000140654,0.000140654,
-7097.303589,-9.26E-01,0.000101201,0.000101201,
-8124.965881,-1.03E+00,7.95531E-05,7.95531E-05,
-9130.583984,-1.11E+00,7.10867E-05,7.10867E-05,
-10115.29749,-1.18E+00,7.1395E-05,7.1395E-05,
-11095.75781,-1.25E+00,6.09529E-05,6.09529E-05,
-12080.12402,-1.31E+00,6.21787E-05,6.21787E-05,
-13045.08435,-1.37E+00,6.23175E-05,6.23175E-05,
-14007.89612,-1.43E+00,5.05805E-05,5.05805E-05,
